sensor,pollutant,n_observation,r_squared,slope,intercept,p_value,n_trials
2c_3a_e8_34_ff_68_SD_A,pm1_0_atm,309,0.9985,0.75,-1.1,0,1
2c_3a_e8_34_ff_68_SD_A,pm10_0_atm,293,0.996,0.94,-1.12,0,2
2c_3a_e8_34_ff_68_SD_A,pm2_5_atm,293,0.9974,0.88,-1.35,0,2
2c_3a_e8_34_ff_68_SD_B,pm1_0_atm,309,0.9983,0.84,-1.3,0,1
2c_3a_e8_34_ff_68_SD_B,pm10_0_atm,293,0.996,1.02,-1.06,0,2
2c_3a_e8_34_ff_68_SD_B,pm2_5_atm,293,0.9972,0.91,-1.25,0,2
2c_3a_e8_34_ff_b2_SD_A,pm10_0_atm,265,0.9929,0.87,-1.5,0,1
2c_3a_e8_34_ff_b2_SD_A,pm2_5_atm,265,0.9955,0.74,-1.5,0,1
2c_3a_e8_34_ff_b2_SD_B,pm10_0_atm,265,0.993,0.83,-1.6,0,1
2c_3a_e8_34_ff_b2_SD_B,pm2_5_atm,265,0.9941,0.76,-1.7,0,1
2c_3a_e8_34_ff_cb_SD_A,pm10_0_atm,278,0.9913,0.84,-1.01,0,2
2c_3a_e8_34_ff_cb_SD_A,pm2_5_atm,278,0.9914,0.77,-1.15,0,2
2c_3a_e8_34_ff_cb_SD_B,pm10_0_atm,278,0.9938,0.86,-0.99,0,2
2c_3a_e8_34_ff_cb_SD_B,pm2_5_atm,278,0.9952,0.8,-1.2,0,2
60_1_94_58_2f_c1_SD_A,pm1_0_atm,99,0.9909,0.74,0.7,0,1
60_1_94_58_2f_c1_SD_A,pm10_0_atm,173.6,0.9821,0.88,-0.89,0,5
60_1_94_58_2f_c1_SD_A,pm2_5_atm,113,0.9776,0.87,-0.88,0,4
60_1_94_58_2f_c1_SD_B,pm1_0_atm,99,0.9901,0.72,0.73,0,1
60_1_94_58_2f_c1_SD_B,pm10_0_atm,192.5,0.9917,0.83,-1,0,4
60_1_94_58_2f_c1_SD_B,pm2_5_atm,118,0.987,0.82,-1.01,0,3
60_1_94_58_38_9d_SD_A,pm1_0_atm,75,0.9897,0.77,0.51,0,1
60_1_94_58_38_9d_SD_A,pm10_0_atm,162.33,0.9978,0.87,-0.68,0,3
60_1_94_58_38_9d_SD_A,pm2_5_atm,162.33,0.9979,0.83,-0.72,0,3
60_1_94_58_38_9d_SD_B,pm1_0_atm,75,0.989,0.74,0.19,0,1
60_1_94_58_38_9d_SD_B,pm10_0_atm,162.33,0.9967,0.86,-0.82,0,3
60_1_94_58_38_9d_SD_B,pm2_5_atm,162.33,0.997,0.83,-0.89,0,3
60_1_94_58_9e_2d_SD_A,pm1_0_atm,104,0.9743,0.71,0.78,0,1
60_1_94_58_9e_2d_SD_A,pm10_0_atm,162.6,0.9889,0.89,-0.9,0,5
60_1_94_58_9e_2d_SD_A,pm2_5_atm,162.6,0.9882,0.85,-0.9,0,5
60_1_94_58_9e_2d_SD_B,pm1_0_atm,104,0.9805,0.73,0.96,0,1
60_1_94_58_9e_2d_SD_B,pm10_0_atm,162.6,0.9908,0.84,-0.84,0,5
60_1_94_58_9e_2d_SD_B,pm2_5_atm,162.6,0.9919,0.81,-0.86,0,5
60_1_94_58_d7_e7_SD_A,pm10_0_atm,214.33,0.9892,0.79,-2.63,0,3
60_1_94_58_d7_e7_SD_A,pm2_5_atm,197.5,0.9892,0.73,-3.05,0,2
60_1_94_58_d7_e7_SD_B,pm10_0_atm,214.33,0.988,0.76,-1.58,0,3
60_1_94_58_d8_90_SD_A,pm10_0_atm,213.67,0.9932,0.81,-2.37,0,3
60_1_94_58_d8_90_SD_A,pm2_5_atm,212.5,0.9954,0.71,-2.7,0,2
60_1_94_58_d8_90_SD_B,pm10_0_atm,213.67,0.9929,0.84,-2.5,0,3
60_1_94_58_d8_90_SD_B,pm2_5_atm,212.5,0.995,0.76,-2.95,0,2
60_1_94_58_d8_a4_SD_A,pm10_0_atm,294,0.9881,0.77,-0.25,0,2
60_1_94_58_d8_a4_SD_B,pm10_0_atm,294,0.9938,0.92,-0.74,0,2
60_1_94_58_d8_a4_SD_B,pm2_5_atm,294,0.9968,0.82,-1.04,0,2
60_1_94_58_d8_a7_SD_A,pm1_0_atm,278,0.9965,0.72,-1.1,0,1
60_1_94_58_d8_a7_SD_A,pm10_0_atm,264,0.9908,0.9,-1.15,0,2
60_1_94_58_d8_a7_SD_A,pm2_5_atm,264,0.9928,0.82,-1.3,0,2
60_1_94_58_d8_a7_SD_B,pm10_0_atm,264,0.9956,0.87,-1.2,0,2
60_1_94_58_d8_a7_SD_B,pm2_5_atm,264,0.9966,0.82,-1.3,0,2
60_1_94_58_d8_a9_SD_A,pm10_0_atm,224.67,0.9847,0.75,-1.53,0,3
60_1_94_58_d8_a9_SD_A,pm2_5_atm,295,0.9919,0.71,-1.3,0,1
60_1_94_58_d8_a9_SD_B,pm10_0_atm,224.67,0.9851,0.77,-2.4,0,3
60_1_94_58_d8_a9_SD_B,pm2_5_atm,213,0.9877,0.76,-3.1,0,2
60_1_94_58_d8_f3_SD_A,pm10_0_atm,279,0.9919,0.88,-1.2,0,2
60_1_94_58_d8_f3_SD_A,pm2_5_atm,279,0.9924,0.79,-1.3,0,2
60_1_94_58_d8_f3_SD_B,pm1_0_atm,308,0.9965,0.7,-1.2,0,1
60_1_94_58_d8_f3_SD_B,pm10_0_atm,279,0.992,0.85,-1.25,0,2
60_1_94_58_d8_f3_SD_B,pm2_5_atm,279,0.9938,0.8,-1.3,0,2
68_c6_3a_8e_59_21_SD_A,pm1_0_atm,90,0.9961,0.82,0,0,1
68_c6_3a_8e_59_21_SD_A,pm10_0_atm,185.2,0.995,0.9,-1,0,5
68_c6_3a_8e_59_21_SD_A,pm2_5_atm,127.5,0.9951,0.9,-1.06,0,4
68_c6_3a_8e_59_21_SD_B,pm10_0_atm,127,0.9546,0.81,1.1,0,1
68_c6_3a_8e_59_21_SD_B,pm2_5_atm,127,0.9544,0.78,0.95,0,1
68_c6_3a_8e_5b_a9_SD_A,pm1_0_atm,75,0.9898,0.76,0.45,0,1
68_c6_3a_8e_5b_a9_SD_A,pm10_0_atm,164.25,0.992,0.9,-0.47,0,4
68_c6_3a_8e_5b_a9_SD_A,pm2_5_atm,164.25,0.9938,0.86,-0.51,0,4
68_c6_3a_8e_5b_a9_SD_B,pm1_0_atm,75,0.9887,0.75,0.52,0,1
68_c6_3a_8e_5b_a9_SD_B,pm10_0_atm,164.25,0.9953,0.87,-0.46,0,4
68_c6_3a_8e_5b_a9_SD_B,pm2_5_atm,164.25,0.9956,0.84,-0.45,0,4
68_c6_3a_8e_5b_f0_SD_A,pm1_0_atm,128,0.9891,0.76,0.82,0,1
68_c6_3a_8e_5b_f0_SD_A,pm10_0_atm,183.6,0.9945,0.85,-0.7,0,5
68_c6_3a_8e_5b_f0_SD_A,pm2_5_atm,125.5,0.9916,0.84,-0.67,0,4
68_c6_3a_8e_5b_f0_SD_B,pm1_0_atm,128,0.9831,0.72,0.77,0,1
68_c6_3a_8e_5b_f0_SD_B,pm10_0_atm,183.6,0.9912,0.85,-0.69,0,5
68_c6_3a_8e_5b_f0_SD_B,pm2_5_atm,125.5,0.9912,0.83,-0.71,0,4
68_c6_3a_8e_a3_ca_SD_A,pm10_0_atm,174.25,0.9945,0.86,-0.73,0,4
68_c6_3a_8e_a3_ca_SD_A,pm2_5_atm,174.25,0.9932,0.8,-0.72,0,4
68_c6_3a_8e_a3_ca_SD_B,pm10_0_atm,174.25,0.9933,0.85,-0.9,0,4
68_c6_3a_8e_a3_ca_SD_B,pm2_5_atm,174.25,0.9944,0.82,-0.99,0,4
